LocalityString,Country,State,County,Lat,Lon,Correction Status,Precision,Error Polygon,Error Polygon (circular polygon),Multiplot,Species2_eBird,Specimen.number,n_specimens
"Magogoni, Ruvu (river), Morogoro, Tanzania, Africa",United Republic of Tanzania,,,-7.226771,37.987544,yes,Low(40),Unavailable,,"-6.383333,38.866667,RUVU RIVER|Unavailable|Unavailable|Low(40),-5.433333,38.966667,RUVU RIVER|Unavailable|Unavailable|Low(40),-5.183333,38.4,MOROGORO|Unavailable|Unavailable|Low(38),-7.226771,37.987544,MAGOGONI|Unavailable|Unavailable|Low(38),-4.983333,39.7,MAGOGONI|Unavailable|Unavailable|Low(38),-5.1,39.716667,MAGOGONI|Unavailable|Unavailable|Low(38),-5.166667,39.783333,MAGOGONI|Unavailable|Unavailable|Low(38),-7.716667,35.866667,MOROGORO|Unavailable|Unavailable|Low(38),-10.633333,35.433333,MOROGORO|Unavailable|Unavailable|Low(38),-5.583333,32.75,MOROGORO|Unavailable|Unavailable|Low(38),-6.816667,37.666667,MOROGORO|Unavailable|Unavailable|Low(38),-5.216667,39.75,MAGOGONI|Unavailable|Unavailable|Low(38),-6.8167,37.6667,MOROGORO|Unavailable|Unavailable|Low(38),-6.906139,37.945539,MOROGORO|Unavailable|Unavailable|Low(38),-8,37,MOROGORO|Unavailable|Unavailable|Low(38),-6,35,TANZANIA|Unavailable|Unavailable|Low(38),-6.833333,39.333333,MAGOGONI|Unavailable|Unavailable|Low(38),-6.162121,39.235664,MAGOGONI|Unavailable|Unavailable|Low(38),-7.916667,37.25,MOROGORO|Unavailable|Unavailable|Low(38),-6,35,TANZANIA|Unavailable|Unavailable|Low(38),-6.383333,38.866667,RUVU|Unavailable|Unavailable|Low(34),-6.8,38.65,RUVU|Unavailable|Unavailable|Low(34),-9.65,39.7,RUVU|Unavailable|Unavailable|Low(34),-6.839258,38.634822,RUVU|Unavailable|Unavailable|Low(34),-4.217982,37.577881,RUVU|Unavailable|Unavailable|Low(34),-4.633333,37.766667,RUVU|Unavailable|Unavailable|Low(34),-6.8,38.65,RUVU|Unavailable|Unavailable|Low(34)",Andropadus importunus,2000.26453,1
"Morogoro, Ostafrika",United Republic of Tanzania,,,-6.8167,37.6667,yes,Low(38),Unavailable,,"-7.716667,35.866667,MOROGORO|Unavailable|Unavailable|Low(38),-5.583333,32.75,MOROGORO|Unavailable|Unavailable|Low(38),-6.816667,37.666667,MOROGORO|Unavailable|Unavailable|Low(38),-10.633333,35.433333,MOROGORO|Unavailable|Unavailable|Low(38),-5.183333,38.4,MOROGORO|Unavailable|Unavailable|Low(38),-8,37,MOROGORO|Unavailable|Unavailable|Low(38),-6.8167,37.6667,MOROGORO|Unavailable|Unavailable|Low(38),-7.916667,37.25,MOROGORO|Unavailable|Unavailable|Low(38),-6.906139,37.945539,MOROGORO|Unavailable|Unavailable|Low(38)",Andropadus importunus,1955.684,1
"Near Beira, Mozambique","Mozambique, Mozambique",,,-19.768894,34.835483,yes,,,,,Andropadus importunus,"1968.1267, 1968.1268",2
"Near Port St. Johns, Transkei Coast, Mzimvubu River, South Africa",South Africa,,,-31.6333,29.5333,no,Medium(59),unavailable,,"-31.6333,29.5333,Near PORT ST. JOHNS|Unavailable|Unavailable|Medium(59)",Andropadus importunus,1981-61,1
"Tokai Retreat, Simons Town Dist.",South Africa,,,-34.060458,18.437825,yes,Low(37),Unavailable,,"-29.67522,29.544455,RETREAT|Unavailable|Unavailable|Low(37),-27.714386,31.194129,RETREAT|Unavailable|Unavailable|Low(37),-23.715365,27.034283,RETREAT|Unavailable|Unavailable|Low(37),-32.051269,23.651371,RETREAT|Unavailable|Unavailable|Low(37),-30.387842,29.141538,RETREAT|Unavailable|Unavailable|Low(37),-29.83703,30.693932,RETREAT|Unavailable|Unavailable|Low(37),-31.916667,26.966667,RETREAT|Unavailable|Unavailable|Low(37),-34.05,18.45,RETREAT|Unavailable|Unavailable|Low(37),-28.287278,24.50119,RETREAT|Unavailable|Unavailable|Low(37),-22.601792,28.356294,RETREAT|Unavailable|Unavailable|Low(37),-22.581516,28.342161,RETREAT|Unavailable|Unavailable|Low(37),-28.273881,26.643058,RETREAT|Unavailable|Unavailable|Low(37),-32.297204,26.986035,RETREAT|Unavailable|Unavailable|Low(37),-33.420762,26.054796,RETREAT|Unavailable|Unavailable|Low(37),-32.002683,26.950243,RETREAT|Unavailable|Unavailable|Low(37),-32.253016,25.650239,RETREAT|Unavailable|Unavailable|Low(37),-30.681314,26.852098,RETREAT|Unavailable|Unavailable|Low(37),-31.562699,29.477784,RETREAT|Unavailable|Unavailable|Low(37),-29.796959,22.956994,RETREAT|Unavailable|Unavailable|Low(37),-27.30617,28.097165,RETREAT|Unavailable|Unavailable|Low(37),-27.017774,24.67263,RETREAT|Unavailable|Unavailable|Low(37),-32.489811,22.760928,RETREAT|Unavailable|Unavailable|Low(37),-34.060458,18.437825,TOKAI|Unavailable|Unavailable|Low(35)",Andropadus importunus,1905.12.29.1940,1
"Transkei Coast, Lusikisiki District, Mzimhlava River Mouth, South Africa",South Africa,,,-31.619343,29.551357,yes,Low(42),Unavailable,,"-29,25,SOUTH AFRICA|Unavailable|Unavailable|Low(42),-30,26,SOUTH AFRICA|Unavailable|Unavailable|Low(42),-31.361987,29.573285,LUSIKISIKI|Unavailable|Unavailable|Low(40),-31.366667,29.566667,LUSIKISIKI|Unavailable|Unavailable|Low(40),-31.3667,29.5833,LUSIKISIKI|Unavailable|Unavailable|Low(40),-31.5,29,TRANSKEI|Unavailable|Unavailable|Low(38),-31.3333,29,TRANSKEI|Unavailable|Unavailable|Low(38)",Andropadus importunus,1980-115,1
"Transkei Coast-Lusikisiki district, Mzimhlava River mouth","South Africa, South Africa",,,-31.620552,29.552087,yes,,,,,Andropadus importunus,"1980-108, 1980-116",2
Bwindi Impenetrable Forest,"Uganda, Uganda",,,-1.008352,29.638347,yes,,,,,Arizelocichla masukuensis,"28567, 28568",2
Kakamega Forest,"Kenya, Kenya, Kenya",,,0.285235,34.875478,yes,,,,,Arizelocichla masukuensis,"1971.16.72, 1971.16.73, 1971.16.71",3
"Magamba Forest Reserve, W Usambara Region",United Republic of Tanzania,,,-4.7,38.3,yes,Low(38),Unavailable,,"-4.942272,38.351798,USAMBARA|Unavailable|Unavailable|Low(38),-6.427666,31.046592,MAGAMBA|Unavailable|Unavailable|Low(37),-4.7,38.3,MAGAMBA|Unavailable|Unavailable|Low(37),-6.429099,31.102321,MAGAMBA|Unavailable|Unavailable|Low(37),-5.533333,38.083333,MAGAMBA|Unavailable|Unavailable|Low(37),-8.619069,32.912637,MAGAMBA|Unavailable|Unavailable|Low(37),-5.645275,38.050353,MAGAMBA|Unavailable|Unavailable|Low(37)",Arizelocichla masukuensis,2012.12,1
"Magamba Forest Reserve, W. Usambara Mts., Lushoto District, Tanga Region, Tanzania",United Republic of Tanzania,,,-4.7,38.3,yes,Low(46),Unavailable,,"-4.545278,38.43927,LUSHOTO DISTRICT|Unavailable|Unavailable|Low(46),-5.2,38.283333,TANGA REGION|Unavailable|Unavailable|Low(42),-5,38.25,TANGA REGION|Unavailable|Unavailable|Low(42),-6,35,TANZANIA|Unavailable|Unavailable|Low(38),-6,35,TANZANIA|Unavailable|Unavailable|Low(38),-4.942272,38.351798,USAMBARA|Unavailable|Unavailable|Low(38),-4.783333,38.283333,LUSHOTO|Unavailable|Unavailable|Low(37),-6.427666,31.046592,MAGAMBA|Unavailable|Unavailable|Low(37),-5.645275,38.050353,MAGAMBA|Unavailable|Unavailable|Low(37),-4.7,38.3,MAGAMBA|Unavailable|Unavailable|Low(37),-4.545278,38.43927,LUSHOTO|Unavailable|Unavailable|Low(37),-5.533333,38.083333,MAGAMBA|Unavailable|Unavailable|Low(37),-4.333333,37.866667,LUSHOTO|Unavailable|Unavailable|Low(37),-6.429099,31.102321,MAGAMBA|Unavailable|Unavailable|Low(37),-4.784936,38.31374,LUSHOTO|Unavailable|Unavailable|Low(37),-4.772001,38.289233,LUSHOTO|Unavailable|Unavailable|Low(37),-8.619069,32.912637,MAGAMBA|Unavailable|Unavailable|Low(37),-10.568095,35.716618,TANGA|Unavailable|Unavailable|Low(35),-9.016667,36.05,TANGA|Unavailable|Unavailable|Low(35),-10.566667,35.683333,TANGA|Unavailable|Unavailable|Low(35),-5.416667,39.7,TANGA|Unavailable|Unavailable|Low(35),-5,38.25,TANGA|Unavailable|Unavailable|Low(35),-5.115738,39.027526,TANGA|Unavailable|Unavailable|Low(35),-5.2,38.283333,TANGA|Unavailable|Unavailable|Low(35),-5.066667,39.1,TANGA|Unavailable|Unavailable|Low(35),-5.083333,39.066667,TANGA|Unavailable|Unavailable|Low(35)",Arizelocichla masukuensis,2012-120,1
Mugesse Mt. Masuku Mts,"Malawi, Malawi",,,-9.655562,33.551625,yes,,,,,Arizelocichla masukuensis,"1935.10.9.92, 1935.10.9.91",2
"Ndundulu Forest Reserve, Udzurgwa Mts. Kilolo District, Iringa Region, Tanzania",United Republic of Tanzania,,,-7.819838,36.609184,yes,Low(43),Unavailable,,"-7.85,35.55,IRINGA REGION|Unavailable|Unavailable|Low(43),-6,35,TANZANIA|Unavailable|Unavailable|Low(38),-6,35,TANZANIA|Unavailable|Unavailable|Low(38),-1.816667,33.383333,IRINGA|Unavailable|Unavailable|Low(36),-8,35.85,KILOLO|Unavailable|Unavailable|Low(36),-7.766667,35.7,IRINGA|Unavailable|Unavailable|Low(36),-7.743429,36.203281,KILOLO|Unavailable|Unavailable|Low(36),-7.516829,35.2284,IRINGA|Unavailable|Unavailable|Low(36),-7.85,35.55,IRINGA|Unavailable|Unavailable|Low(36)",Arizelocichla masukuensis,2012-121,1
Rungwe Mts,United Republic of Tanzania,,,-9.107725,33.61683,yes,Low(36),Unavailable,,"-4.566667,38.25,RUNGWE|Unavailable|Unavailable|Low(36),-9.166667,33.6,RUNGWE|Unavailable|Unavailable|Low(36),-6.04152,30.538226,RUNGWE|Unavailable|Unavailable|Low(36),-9.1667,33.5833,RUNGWE|Unavailable|Unavailable|Low(36),-9.235497,33.690343,RUNGWE|Unavailable|Unavailable|Low(36)",Arizelocichla masukuensis,1949.69.38,1
"Uluguru North Forest Reserve, Morogoro Region",United Republic of Tanzania,,,-6.916667,37.7,no,Low(58),unavailable,,"-6.916667,37.7,ULUGURU NORTH FOREST RESERVE|Unavailable|Unavailable|Low(58),-7.916667,37.25,MOROGORO REGION|Unavailable|Unavailable|Low(45),-8,37,MOROGORO REGION|Unavailable|Unavailable|Low(45),-5.583333,32.75,MOROGORO|Unavailable|Unavailable|Low(38),-7.716667,35.866667,MOROGORO|Unavailable|Unavailable|Low(38),-6.816667,37.666667,MOROGORO|Unavailable|Unavailable|Low(38),-10.633333,35.433333,MOROGORO|Unavailable|Unavailable|Low(38),-5.183333,38.4,MOROGORO|Unavailable|Unavailable|Low(38),-6.906139,37.945539,MOROGORO|Unavailable|Unavailable|Low(38),-8,37,MOROGORO|Unavailable|Unavailable|Low(38),-6.8167,37.6667,MOROGORO|Unavailable|Unavailable|Low(38),-7.916667,37.25,MOROGORO|Unavailable|Unavailable|Low(38)",Arizelocichla masukuensis,2012.116,1
"Uluguru North Forest Reserve, Muomero District, Morogoro Region, Tanzania","United Republic of Tanzania, United Republic of Tanzania",,,-6.915786,37.697593,yes,,,,,Arizelocichla masukuensis,"2012-116, 2012-117",2
"Ambangulu Forest Reserve, W-Usambara Mts, Korogwe District, Tanga Region, Tanzania",United Republic of Tanzania,,,-5.083333,38.433333,yes,Low(46),Unavailable,,"-5.026859,38.395007,KOROGWE DISTRICT|Unavailable|Unavailable|Low(46),-5.2,38.283333,TANGA REGION|Unavailable|Unavailable|Low(42),-5,38.25,TANGA REGION|Unavailable|Unavailable|Low(42),-5.083333,38.433333,AMBANGULU|Unavailable|Unavailable|Low(39),-6,35,TANZANIA|Unavailable|Unavailable|Low(38),-6,35,TANZANIA|Unavailable|Unavailable|Low(38),-4.942272,38.351798,USAMBARA|Unavailable|Unavailable|Low(38),-5.204803,38.554133,KOROGWE|Unavailable|Unavailable|Low(37),-5.15,38.483333,KOROGWE|Unavailable|Unavailable|Low(37),-5.1667,38.5,KOROGWE|Unavailable|Unavailable|Low(37),-5.026859,38.395007,KOROGWE|Unavailable|Unavailable|Low(37),-5.083333,39.066667,TANGA|Unavailable|Unavailable|Low(35),-5.416667,39.7,TANGA|Unavailable|Unavailable|Low(35),-10.566667,35.683333,TANGA|Unavailable|Unavailable|Low(35),-9.016667,36.05,TANGA|Unavailable|Unavailable|Low(35),-5.066667,39.1,TANGA|Unavailable|Unavailable|Low(35),-5.2,38.283333,TANGA|Unavailable|Unavailable|Low(35),-5.115738,39.027526,TANGA|Unavailable|Unavailable|Low(35),-10.568095,35.716618,TANGA|Unavailable|Unavailable|Low(35),-5,38.25,TANGA|Unavailable|Unavailable|Low(35)",Arizelocichla milanjensis,2012.173,1
Chirinda Forest,"Zimbabwe, Zimbabwe, Zimbabwe, Zimbabwe",,,-20.431251,32.696088,yes,,,,,Arizelocichla milanjensis,"1910.7.1.398, 1910.7.1.389, 1911.5.80.551, 1910.7.1.397",4
"Magamba Forest Reserve, W-Usambara Mts, Lushoto District, Tanga Region, Tanzania",United Republic of Tanzania,,,-4.7,38.3,yes,Low(46),Unavailable,,"-4.545278,38.43927,LUSHOTO DISTRICT|Unavailable|Unavailable|Low(46),-5.2,38.283333,TANGA REGION|Unavailable|Unavailable|Low(42),-5,38.25,TANGA REGION|Unavailable|Unavailable|Low(42),-6,35,TANZANIA|Unavailable|Unavailable|Low(38),-6,35,TANZANIA|Unavailable|Unavailable|Low(38),-4.942272,38.351798,USAMBARA|Unavailable|Unavailable|Low(38),-4.783333,38.283333,LUSHOTO|Unavailable|Unavailable|Low(37),-6.427666,31.046592,MAGAMBA|Unavailable|Unavailable|Low(37),-5.645275,38.050353,MAGAMBA|Unavailable|Unavailable|Low(37),-4.7,38.3,MAGAMBA|Unavailable|Unavailable|Low(37),-4.545278,38.43927,LUSHOTO|Unavailable|Unavailable|Low(37),-5.533333,38.083333,MAGAMBA|Unavailable|Unavailable|Low(37),-4.333333,37.866667,LUSHOTO|Unavailable|Unavailable|Low(37),-6.429099,31.102321,MAGAMBA|Unavailable|Unavailable|Low(37),-4.784936,38.31374,LUSHOTO|Unavailable|Unavailable|Low(37),-4.772001,38.289233,LUSHOTO|Unavailable|Unavailable|Low(37),-8.619069,32.912637,MAGAMBA|Unavailable|Unavailable|Low(37),-10.568095,35.716618,TANGA|Unavailable|Unavailable|Low(35),-9.016667,36.05,TANGA|Unavailable|Unavailable|Low(35),-10.566667,35.683333,TANGA|Unavailable|Unavailable|Low(35),-5.416667,39.7,TANGA|Unavailable|Unavailable|Low(35),-5,38.25,TANGA|Unavailable|Unavailable|Low(35),-5.115738,39.027526,TANGA|Unavailable|Unavailable|Low(35),-5.2,38.283333,TANGA|Unavailable|Unavailable|Low(35),-5.066667,39.1,TANGA|Unavailable|Unavailable|Low(35),-5.083333,39.066667,TANGA|Unavailable|Unavailable|Low(35)",Arizelocichla milanjensis,2012.142,1
"Uluguru North Forest Reserve, Muomero District, Morogoro Region, Tanzania","United Republic of Tanzania, United Republic of Tanzania",,,-6.912686,37.696218,yes,,,,,Arizelocichla milanjensis,"2012.143, 2012.147",2
Lake Oku,Cameroon,,,6.166667,10.416667,no,High(83),unavailable,,"6.166667,10.416667,LAKE OKU|Unavailable|Unavailable|High(83)",Arizelocichla montana,1966.16.1753,1
Ndu,Cameroon,,,6.4,10.766667,yes,High(78),Unavailable,,"3.083333,12.35,NDU|Unavailable|Unavailable|High(78),4.266667,9.233333,NDU|Unavailable|Unavailable|High(78),6.4,10.766667,NDU|Unavailable|Unavailable|High(78),4.5,11.916667,NDU|Unavailable|Unavailable|High(78),2.45,10.933333,NDU|Unavailable|Unavailable|High(78),3.383333,14.033333,NDU|Unavailable|Unavailable|High(78)",Arizelocichla montana,1966.16.1766,1
"Saxenhof, near Buea",Cameroon,,,4.15,9.2167,yes,Medium(49),Unavailable,,"4.1527,9.241,Near BUEA|Unavailable|Unavailable|Medium(49),4.15,9.2167,Near BUEA|Unavailable|Unavailable|Medium(49)",Arizelocichla montana,1966.16.1763,1
above Saxenhof near Buea,Cameroon,,,4.15,9.2167,yes,Medium(49),Unavailable,,"4.1527,9.241,Near BUEA|Unavailable|Unavailable|Medium(49),4.15,9.2167,Near BUEA|Unavailable|Unavailable|Medium(49)",Arizelocichla montana,1966.16.1765,1
"Bismarck Hut, Kilimanjaro 8500'",United Republic of Tanzania,,,-3.337829,37.32765,yes,Low(41),Unavailable,,"-5.383333,38.05,KILIMANJARO|Unavailable|Unavailable|Low(41),-3.066667,37.366667,KILIMANJARO|Unavailable|Unavailable|Low(41),-9.866667,35.35,KILIMANJARO|Unavailable|Unavailable|Low(41),-3.75,37.633333,KILIMANJARO|Unavailable|Unavailable|Low(41),-3.75,37.75,KILIMANJARO|Unavailable|Unavailable|Low(41),-3.066,37.372,KILIMANJARO|Unavailable|Unavailable|Low(41),-3.337829,37.32765,KILIMANJARO|Unavailable|Unavailable|Low(41),-5.416667,34.9,MANJARO|Unavailable|Unavailable|Low(24)",Arizelocichla nigriceps,1934.6.18.15,1
"Kibosho, Kilimanjaro",United Republic of Tanzania,,,-3.25,37.316667,yes,Low(41),Unavailable,,"-5.383333,38.05,KILIMANJARO|Unavailable|Unavailable|Low(41),-3.75,37.633333,KILIMANJARO|Unavailable|Unavailable|Low(41),-9.866667,35.35,KILIMANJARO|Unavailable|Unavailable|Low(41),-3.066667,37.366667,KILIMANJARO|Unavailable|Unavailable|Low(41),-3.75,37.75,KILIMANJARO|Unavailable|Unavailable|Low(41),-3.337829,37.32765,KILIMANJARO|Unavailable|Unavailable|Low(41),-3.066,37.372,KILIMANJARO|Unavailable|Unavailable|Low(41),-3.25,37.316667,KIBOSHO|Unavailable|Unavailable|Low(37),-3.221451,37.305,KIBOSHO|Unavailable|Unavailable|Low(37),-5.416667,34.9,MANJARO|Unavailable|Unavailable|Low(24)",Arizelocichla nigriceps,1933.3.2.31,1
Loliondo Forest,United Republic of Tanzania,,,-2.066667,35.6,yes,Low(38),Unavailable,,"-2.25,35.583333,LOLIONDO|Unavailable|Unavailable|Low(38),-2.066667,35.6,LOLIONDO|Unavailable|Unavailable|Low(38),-2.05,35.616667,LOLIONDO|Unavailable|Unavailable|Low(38)",Arizelocichla nigriceps,1945.41.53,1
"Lossogonoi Hill, S of Lolbene",United Republic of Tanzania,,,-3.95,37.116667,no,Low(37),unavailable,,"-3.95,37.116667,LOLBENE|Unavailable|Unavailable|Low(37)",Arizelocichla nigriceps,1945.41.51,1
"Magamba Forest Reserve, W-Usambara Mts, Lushoto District, Tanga Region, Tanzania","United Republic of Tanzania, United Republic of Tanzania, United Republic of Tanzania, United Republic of Tanzania",,,-4.709516,38.301839,yes,,,,,Arizelocichla nigriceps,"2012.136, 2012.137, 2012.139, 2012.134",4
Meru Urwald,"United Republic of Tanzania, United Republic of Tanzania",,,-3.267752,36.720666,yes,,,,,Arizelocichla nigriceps,"1960-145, 1960-147",2
"Meru, Ost",United Republic of Tanzania,,,-3.233333,36.75,yes,Low(34),Unavailable,,"-3.216667,36.666667,MERU|Unavailable|Unavailable|Low(34),-3.326734,36.900834,MERU|Unavailable|Unavailable|Low(34),-3.233333,36.75,MERU|Unavailable|Unavailable|Low(34)",Arizelocichla nigriceps,1960-148,1
"Meru-Ost, Urwald",United Republic of Tanzania,,,-3.216667,36.666667,yes,Low(34),,,"-3.216667,36.666667,MERU|Unavailable|Unavailable|Low(34),-3.326734,36.900834,MERU|Unavailable|Unavailable|Low(34),-3.233333,36.75,MERU|Unavailable|Unavailable|Low(34)",Arizelocichla nigriceps,1960-146,1
"Mubuku Valley, East Ruwenzori","Uganda, Uganda, Uganda, Uganda",,,0.273041,30.121229,yes,,,,,Arizelocichla nigriceps,"1906.12.23.1330, 1906.12.23.1332, 1906.12.23.1329, 1906.12.23.1326",4
"Bantabare, Bioko","Equatorial Guinea, Equatorial Guinea",,,3.429005,8.791831,yes,,,,,Arizelocichla tephrolaema,"1904.6.22.117, 1904.6.22.121",2
"Besoso, Fernando Po (now Bioko)",Equatorial Guinea,,,3.5,8.7,yes,Low(41),Unavailable,,"3.5,8.7,FERNANDO PO|Unavailable|Unavailable|Low(41),3.5,8.7,FERNANDO PO|Unavailable|Unavailable|Low(41),3.5833,8.75,BIOKO|Unavailable|Unavailable|Low(35),3.350442,8.662766,BIOKO|Unavailable|Unavailable|Low(35),3.5,8.7,BIOKO|Unavailable|Unavailable|Low(35)",Arizelocichla tephrolaema,1911.12.23.1745,1
"Moka, Fernando Po (now Bioko)",Equatorial Guinea,,,3.333333,8.666667,yes,Low(41),Unavailable,,"3.5,8.7,FERNANDO PO|Unavailable|Unavailable|Low(41),3.5,8.7,FERNANDO PO|Unavailable|Unavailable|Low(41),3.350442,8.662766,BIOKO|Unavailable|Unavailable|Low(35),3.5,8.7,BIOKO|Unavailable|Unavailable|Low(35),3.5833,8.75,BIOKO|Unavailable|Unavailable|Low(35),3.333333,8.666667,MOKA|Unavailable|Unavailable|Low(34)",Arizelocichla tephrolaema,1911.12.23.1668,1
Enugu,"Nigeria, Nigeria, Nigeria, Nigeria",,,6.431042,7.508187,yes,,,,,Atimastillas flavicollis,"1966.16.1782, 1949.33.48, 1966.16.1786, 1966.16.1776",4
